stime,P-sensor-1,P-sensor-2,P-sensor-3,P-sensor-4,P-sensor-5,P-sensor-6,P-sensor-7,P-sensor-8,P-sensor-9,P-sensor-10,P-sensor-11,P-sensor-12,P-sensor-13,P-sensor-14,P-sensor-15,P-sensor-16,P-sensor-17,P-sensor-18,P-sensor-19,P-sensor-20,P-sensor-21,P-sensor-22,P-sensor-23,P-sensor-24,P-sensor-25,P-sensor-26,P-sensor-27,P-sensor-28,P-sensor-29,P-sensor-30,P-sensor-31,P-sensor-32,P-sensor-33,P-sensor-34,P-sensor-35,P-sensor-36,P-sensor-37,P-sensor-38,P-sensor-39,P-sensor-40,P-sensor-41,P-sensor-42,P-sensor-43,P-sensor-44,P-sensor-45,P-sensor-46,P-sensor-47,P-sensor-48,P-sensor-49,P-sensor-50,P-sensor-51,P-sensor-52
2024-03-01 00:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.41525423728815,79.4818652849741,88.28402366863904,0.0,84.29655172413791,0.0,84.87499999999997,0.0,92.78425655976679,88.84507042253524,75.65573770491804,0.0,0.0,82.0,94.21052631578948,79.4426229508197,0.0,53.79999999999973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79.15789473684214,84.93478260869563,80.19999999999999,0.0,0.0,83.18867924528303,74.01250000000005,0.0,87.29054054054053,82.43548387096777,85.62903225806457,0.0,0.0,69.83593749999997,66.51470588235293,59.44578313253014,0.0,53.2361809045226,28.720000000000027
2024-03-01 00:15:00,0.0,72.59322033898306,78.32544378698223,0.0,79.60515021459229,0.0,73.85955056179773,89.93220338983052,0.0,87.69822485207098,82.32142857142856,85.66206896551722,0.0,83.49999999999997,0.0,93.65014577259478,0.0,84.58196721311475,92.19083969465652,0.0,91.0,93.0526315789474,78.90163934426232,0.0,27.40000000000009,0.0,0.0,0.0,0.0,0.0,0.0,64.64285714285734,0.0,82.05263157894737,87.08695652173913,75.25,86.06310679611649,0.0,79.45283018867926,0.0,0.0,0.0,83.23387096774198,0.0,89.43258426966293,0.0,79.1171875,0.0,0.0,0.0,55.226130653266324,0.0
2024-03-01 00:30:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01 00:45:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01 01:00:00,0.0,85.45762711864407,87.698224852071,0.0,89.3776824034335,0.0,0.0,94.54661016949153,89.22797927461139,0.0,88.80357142857142,89.75862068965515,0.0,91.06249999999997,0.0,97.11370262390673,91.16901408450705,0.0,96.97709923664124,94.41729323308272,88.30000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.57142857142844,0.0,0.0,92.1086956521739,82.39999999999998,0.0,0.0,0.0,78.96249999999998,0.0,87.95945945945947,88.02419354838713,81.6370967741936,0.0,0.0,79.1171875,81.0735294117647,82.50602409638556,0.0,71.14572864321607,64.35999999999996
2024-03-01 01:15:00,0.0,82.10169491525426,0.0,0.0,0.0,0.0,81.64606741573033,0.0,91.279792746114,0.0,88.2142857142857,89.75862068965515,0.0,90.03124999999997,89.66666666666666,93.65014577259478,92.56338028169016,0.0,93.45038167938932,0.0,93.25,94.21052631578948,0.0,0.0,40.59999999999991,0.0,0.0,0.0,0.0,0.0,0.0,71.71428571428578,87.13559322033896,0.0,0.0,82.94999999999999,87.02427184466019,0.0,83.18867924528303,87.625,0.0,86.62162162162163,0.0,81.6370967741936,91.65730337078654,0.0,82.984375,78.88970588235293,0.0,0.0,75.1256281407035,65.94399999999996
2024-03-01 01:30:00,0.0,83.77966101694918,0.0,0.0,0.0,0.0,83.31460674157304,93.28813559322036,95.38341968911917,94.72781065088756,92.3392857142857,0.0,0.0,87.62499999999997,90.0,94.51603498542275,0.0,84.58196721311475,94.45801526717557,90.69548872180451,93.25,95.36842105263162,0.0,0.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87.13559322033896,93.05263157894737,92.1086956521739,0.0,88.46601941747572,0.0,86.92452830188682,0.0,0.0,90.63513513513514,85.62903225806457,81.6370967741936,0.0,0.0,89.9453125,81.4375,77.73493975903618,0.0,79.10552763819095,69.90399999999994
2024-03-01 01:45:00,0.0,88.25423728813558,0.0,0.0,0.0,0.0,87.20786516853931,91.19067796610169,89.74093264248705,87.69822485207098,87.62499999999997,0.0,0.0,0.0,86.66666666666666,94.22740524781344,91.63380281690142,87.01639344262296,0.0,96.65037593984962,91.9,97.10526315789474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.64285714285734,87.13559322033896,87.84210526315789,91.03260869565216,82.94999999999999,0.0,0.0,0.0,78.96249999999998,0.0,0.0,0.0,0.0,86.65168539325845,0.0,82.2109375,0.0,79.72289156626509,0.0,0.0,0.0
2024-03-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-01 02:15:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
